"    Landmark","X1","Y1","X2","Y2","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","61.8","0.0","62.2","0.0","0.4","0.0","63.5","0.0","1.6","0.0"
"PORION","-25.4","-8.9","-19.2","-10.8","6.2","-2.0","-21.6","-10.3","3.8","-1.4"
"ORBITALE","44.3","-21.4","44.1","-20.6","-0.2","0.9","47.0","-23.0","2.6","-1.6"
"U I APEX","49.4","-41.0","N/A","N/A","n/a","n/a","N/A","N/A","n/a","n/a"
"POINT A","53.4","-45.8","53.7","-45.9","0.4","-0.1","54.4","-46.5","1.0","-0.8"
"U I EDGE","n/a","n/a","N/A","N/A","n/a","n/a","N/A","N/A","n/a","n/a"
"L I EDGE","n/a","n/a","N/A","N/A","n/a","n/a","55.2","-63.2","n/a","n/a"
"POINT B","52.7","-76.4","52.7","-73.8","0.0","2.6","51.7","-78.7","-1.0","-2.3"
"L I APEX","49.0","-77.5","47.3","-78.5","-1.7","-1.0","47.7","-81.3","-1.3","-3.8"
"POGONION","n/a","n/a","53.5","-84.8","n/a","n/a","52.8","-89.4","n/a","n/a"
"MENTON","n/a","n/a","47.0","-91.2","n/a","n/a","46.0","-96.1","n/a","n/a"
"U 6 APEX","29.5","-34.5","28.1","-35.6","-1.4","-1.1","31.6","-38.5","2.1","-3.9"
"U 6 CUSP","25.6","-47.6","24.7","-51.3","-0.9","-3.7","25.6","-55.5","0.0","-7.9"
"L 6 CUSP","25.8","-54.0","25.8","-54.3","0.0","-0.3","26.5","-56.4","0.7","-2.4"
"L 6 APEX","19.2","-70.7","19.2","-69.6","0.0","1.1","20.6","-72.5","1.4","-1.9"
"GONION L","-1.3","-71.1","-1.6","-70.3","-0.3","0.8","-1.8","-73.9","-0.5","-2.8"
"GONION U","-0.9","-68.9","-4.4","-68.2","-3.5","0.7","-7.9","-69.2","-7.0","-0.2"
"CONDYLE","-14.8","-14.8","-11.7","-13.3","3.1","1.5","-16.8","-16.2","-2.0","-1.4"
"PNS","13.5","-35.9","13.2","-36.7","-0.3","-0.8","13.1","-37.5","-0.4","-1.7"
"BASION","-25.5","-35.3","-29.5","-32.6","-4.0","2.7","-28.9","-35.7","-3.4","-0.5"
"MID GONION","-1.1","-70.0","-3.0","-69.3","-1.9","0.7","-4.8","-71.5","-3.7","-1.5"
"ANS","59.4","-40.6","58.7","-41.1","-0.8","-0.5","58.5","-43.0","-0.9","-2.5"
"ARTICULAR","-14.7","-23.3","-14.3","-23.5","0.4","-0.2","-15.8","-25.6","-1.1","-2.3"